oil,gold,copper
Germany sets stage for G7 clash with push to endorse gas ,Zimbabwe to launch gold-backed digital token as currency concerns mount ,The harrowing true story of a high-stakes heist gone wrong
BNP Paribas to stop funding new gas projects as litigation risk mounts ,Barrick Gold boss hunts for takeover targets,ING sues China’s biggest bank over copper trading losses
BP chief: Fossil fuels have done ‘enormous good’ Premium content,US banking crisis pushes gold close to all-time high,Glencore’s bid for Teck Resources revives animal spirits in race for copper
Europe’s energy majors have a black box problem,FTfm: Exchange Traded Funds,"Copper price to surge to record high this year, Trafigura forecasts"
Dr Oil’s pessimistic mood ,Central banks load up on gold in response to rising geopolitical tensions,Copper/Peru: unrest highlights the potential for supply shocks Premium content
UN climate conference hires ex-Boris Johnson aide who opposed oil and gas tax,Swiss-owned company’s Russian gold trades expose gap in western sanctions,Peru unrest threatens copper supply
Saudi Aramco: payout boost will lift yield of tight-held stock Premium content,Brazil urges international action against illegal gold trade,China’s comeback turbocharges base metal prices
The clean energy subsidy race is on  Premium content,Flows into ETFs treble in March as investors seek safety,Copper/China: red metal’s purple patch is set to continue Premium content
Saudi Aramco plans performance-linked dividends despite profits fall,Rising gold prices bring 14 carats to the fore,Copper rallies on hopes of China economic rebound
What is really driving ExxonMobil’s clean energy commitments?,Traders pile into bets on gold price rally,Rio Tinto prevails in $3.3bn takeover of Turquoise Hill
Falling crude prices and recession fears bring US oil and gas rally to a halt,Gold shines as rate declines come closer,BHP/copper: better offer for OZ shows increasing conviction in red metal’s potential Premium content
Russia’s energy sector hit as Kremlin forced to increase tax,Wahed’s golden headshake,Copper bosses warn of supply threat to climate ambitions
"Russian oil ban costs Polish oil company PKN Orlen millions a day, says boss",Newmont’s $17bn Newcrest bid ignites gold sector M&A buzz ,Trafigura warns the world is running low on copper
COP28 team marshals oil and gas industry alliance ahead of climate summit,Ukraine war turns Russia into a nation of gold bugs,Zambia questions ex-minister over alleged Glencore political payment 
European gas price sinks to lowest level since energy crisis began,Gold rush continues with $17bn mega-deal,Rio Tinto warns of slowing iron ore shipments as Chinese construction falters
Norway’s oil fund rejects Rome’s candidate for Enel chair,Newmont/Newcrest: US miner will have to lift offer price to win target Premium content,LME seeks members’ views on banning Russian metals
Macquarie commodities head’s $39mn payout beats CEO’s after record group profit,World’s biggest gold miner Newmont offers $17bn for rival Newcrest,China commodity trader woe a setback for Glencore
Shell announces $4bn share buyback as it posts record first-quarter profits,‘Colossal’ central bank buying drives gold demand to decade high,China copper: bullish bets unravel as global growth slows  Premium content
The unknown Indian company shipping millions of barrels of Russian oil,Gold prices surge on expectations for slower Fed rate rises,Please consume metals sustainability data responsibly
RAC warns of diesel profiteering in UK despite wholesale price drop,Wage inflation ain’t dead yet Premium content,Rio Tinto agrees to buy remaining Turquoise Hill stake for $3.3bn 
COP28 head at odds with climate leaders over future for fossil fuels,Why gold is the bright stuff for would-be sanctions busters,Rio Tinto raises offer to take direct control of Mongolia copper mine Oyu Tolgoi
Iran seizes second oil tanker in a week as tensions with US increase   ,Gold buyers binge on biggest volumes for 55 years,Rio Tinto rebuffed in plan to take control of Mongolian copper project
"Shell, BP and Total out-trade Vitol, Trafigura, Mercuria and Gunvor",Should retail investors buy gold?,Glencore cuts ties with Chinese trader over missing $500mn of copper
Pakistan eyes economic relief from Russian oil imports due in May,Gold Fields/mining M&A: right deal at wrong price points to gold rebound Premium content,Miner Antofagasta warns of copper project challenges under Chile tax rise plan
Forget bumper BP results: another North Sea storm is brewing,Gold Fields chief steps down after Yamana takeover failure,BHP/Oz Minerals: bolt-on buy would have a copper-bottomed rationale  Premium content
Germany sets stage for G7 clash with push to endorse gas ,Zimbabwe to launch gold-backed digital token as currency concerns mount ,The harrowing true story of a high-stakes heist gone wrong
BNP Paribas to stop funding new gas projects as litigation risk mounts ,Barrick Gold boss hunts for takeover targets,ING sues China’s biggest bank over copper trading losses
BP chief: Fossil fuels have done ‘enormous good’ Premium content,US banking crisis pushes gold close to all-time high,Glencore’s bid for Teck Resources revives animal spirits in race for copper
Europe’s energy majors have a black box problem,FTfm: Exchange Traded Funds,"Copper price to surge to record high this year, Trafigura forecasts"
Dr Oil’s pessimistic mood ,Central banks load up on gold in response to rising geopolitical tensions,Copper/Peru: unrest highlights the potential for supply shocks Premium content
UN climate conference hires ex-Boris Johnson aide who opposed oil and gas tax,Swiss-owned company’s Russian gold trades expose gap in western sanctions,Peru unrest threatens copper supply
Saudi Aramco: payout boost will lift yield of tight-held stock Premium content,Brazil urges international action against illegal gold trade,China’s comeback turbocharges base metal prices
The clean energy subsidy race is on  Premium content,Flows into ETFs treble in March as investors seek safety,Copper/China: red metal’s purple patch is set to continue Premium content
Saudi Aramco plans performance-linked dividends despite profits fall,Rising gold prices bring 14 carats to the fore,Copper rallies on hopes of China economic rebound
What is really driving ExxonMobil’s clean energy commitments?,Traders pile into bets on gold price rally,Rio Tinto prevails in $3.3bn takeover of Turquoise Hill
Falling crude prices and recession fears bring US oil and gas rally to a halt,Gold shines as rate declines come closer,BHP/copper: better offer for OZ shows increasing conviction in red metal’s potential Premium content
Russia’s energy sector hit as Kremlin forced to increase tax,Wahed’s golden headshake,Copper bosses warn of supply threat to climate ambitions
"Russian oil ban costs Polish oil company PKN Orlen millions a day, says boss",Newmont’s $17bn Newcrest bid ignites gold sector M&A buzz ,Trafigura warns the world is running low on copper
COP28 team marshals oil and gas industry alliance ahead of climate summit,Ukraine war turns Russia into a nation of gold bugs,Zambia questions ex-minister over alleged Glencore political payment 
European gas price sinks to lowest level since energy crisis began,Gold rush continues with $17bn mega-deal,Rio Tinto warns of slowing iron ore shipments as Chinese construction falters
Norway’s oil fund rejects Rome’s candidate for Enel chair,Newmont/Newcrest: US miner will have to lift offer price to win target Premium content,LME seeks members’ views on banning Russian metals
Macquarie commodities head’s $39mn payout beats CEO’s after record group profit,World’s biggest gold miner Newmont offers $17bn for rival Newcrest,China commodity trader woe a setback for Glencore
Shell announces $4bn share buyback as it posts record first-quarter profits,‘Colossal’ central bank buying drives gold demand to decade high,China copper: bullish bets unravel as global growth slows  Premium content
The unknown Indian company shipping millions of barrels of Russian oil,Gold prices surge on expectations for slower Fed rate rises,Please consume metals sustainability data responsibly
